timestamp,zone,sentiment_score,noise_level_db,weather_score,event_density,transit_delay_min,vibe_score
2025-04-25 14:54:21.860940,Downtown,-0.04,36,0.42,6,11,0.38
2025-04-25 14:54:21.860940,Midtown,-0.07,73,0.19,1,18,0.13
2025-04-25 14:54:21.860940,Uptown,-0.46,31,0.93,4,2,0.36
2025-04-25 14:54:21.860940,Suburb,0.09,87,0.7,5,30,0.29
2025-04-25 14:54:21.860940,Waterfront,0.32,57,0.78,2,22,0.4
2025-04-25 15:54:21.860940,Downtown,0.2,66,0.63,4,22,0.36
2025-04-25 15:54:21.860940,Midtown,-0.46,60,0.04,9,21,0.16
2025-04-25 15:54:21.860940,Uptown,-0.16,62,0.99,4,5,0.39
2025-04-25 15:54:21.860940,Suburb,0.79,59,0.13,4,26,0.44
2025-04-25 15:54:21.860940,Waterfront,0.3,30,0.29,6,16,0.45
2025-04-25 16:54:21.860940,Downtown,0.34,40,0.59,0,25,0.36
2025-04-25 16:54:21.860940,Midtown,0.77,74,0.45,7,22,0.54
2025-04-25 16:54:21.860940,Uptown,0.24,49,0.05,0,30,0.18
2025-04-25 16:54:21.860940,Suburb,-0.14,58,0.24,10,25,0.31
2025-04-25 16:54:21.860940,Waterfront,-0.18,65,0.5,9,3,0.39
2025-04-25 17:54:21.860940,Downtown,-0.02,84,0.63,7,5,0.38
2025-04-25 17:54:21.860940,Midtown,0.33,89,0.05,9,27,0.32
2025-04-25 17:54:21.860940,Uptown,-0.18,76,0.29,1,8,0.15
2025-04-25 17:54:21.860940,Suburb,-0.2,43,0.47,6,13,0.32
2025-04-25 17:54:21.860940,Waterfront,-0.53,68,0.39,10,21,0.21
2025-04-25 18:54:21.860940,Downtown,-0.1,47,0.41,0,30,0.16
2025-04-25 18:54:21.860940,Midtown,-0.38,66,0.15,4,11,0.13
2025-04-25 18:54:21.860940,Uptown,-0.08,60,0.42,4,22,0.25
2025-04-25 18:54:21.860940,Suburb,0.01,43,0.49,5,2,0.41
2025-04-25 18:54:21.860940,Waterfront,-0.56,72,0.07,3,25,-0.02
2025-04-25 19:54:21.860940,Downtown,-0.62,37,0.34,4,13,0.14
2025-04-25 19:54:21.860940,Midtown,0.39,36,0.64,2,30,0.41
2025-04-25 19:54:21.860940,Uptown,-0.49,38,0.98,4,23,0.28
2025-04-25 19:54:21.860940,Suburb,-0.25,69,0.2,3,6,0.17
2025-04-25 19:54:21.860940,Waterfront,-0.46,46,0.5,5,4,0.26
2025-04-25 20:54:21.860940,Downtown,-0.62,83,0.74,9,26,0.19
2025-04-25 20:54:21.860940,Midtown,0.32,45,0.61,1,25,0.36
2025-04-25 20:54:21.860940,Uptown,0.4,71,0.84,4,24,0.45
2025-04-25 20:54:21.860940,Suburb,0.32,44,0.8,8,3,0.62
2025-04-25 20:54:21.860940,Waterfront,-0.05,88,0.05,10,6,0.3
2025-04-25 21:54:21.860940,Downtown,0.37,64,0.15,9,10,0.46
2025-04-25 21:54:21.860940,Midtown,0.1,49,0.72,9,2,0.55
2025-04-25 21:54:21.860940,Uptown,0.16,86,0.91,5,5,0.44
2025-04-25 21:54:21.860940,Suburb,-0.0,56,0.6,1,20,0.26
2025-04-25 21:54:21.860940,Waterfront,0.28,43,0.29,4,9,0.41
2025-04-25 22:54:21.860940,Downtown,-0.14,50,0.87,8,14,0.45
2025-04-25 22:54:21.860940,Midtown,0.32,81,0.2,2,3,0.3
2025-04-25 22:54:21.860940,Uptown,-0.13,78,0.81,10,8,0.44
2025-04-25 22:54:21.860940,Suburb,-0.53,90,0.14,7,5,0.11
2025-04-25 22:54:21.860940,Waterfront,0.02,83,0.97,4,6,0.39
2025-04-25 23:54:21.860940,Downtown,0.07,32,0.83,8,7,0.56
2025-04-25 23:54:21.860940,Midtown,0.19,79,0.7,10,27,0.45
2025-04-25 23:54:21.860940,Uptown,-0.13,41,0.86,6,3,0.46
2025-04-25 23:54:21.860940,Suburb,-0.13,83,0.78,10,28,0.36
2025-04-25 23:54:21.860940,Waterfront,0.27,82,0.2,6,25,0.29
2025-04-26 00:54:21.860940,Downtown,-0.11,41,0.82,5,23,0.37
2025-04-26 00:54:21.860940,Midtown,-0.06,34,0.53,6,24,0.36
2025-04-26 00:54:21.860940,Uptown,-0.61,49,0.95,3,10,0.24
2025-04-26 00:54:21.860940,Suburb,-0.18,54,0.63,10,11,0.43
